60	0
60.02	0
60.04	0
60.06	1
60.08	0
60.1	0
60.12	0
60.14	0
60.16	0
60.18	0
60.2	1
60.22	0
60.24	1
60.26	0
60.28	0
60.3	0
60.32	0
60.34	0
60.36	0
60.38	0
60.4	0
60.42	0
60.44	0
60.46	0
60.48	0
60.5	0
60.52	0
60.54	1
60.56	0
60.58	0
60.6	0
60.62	0
60.64	0
60.66	0
60.68	0
60.7	0
60.72	0
60.74	0
60.76	0
60.78	0
60.8	1
60.82	0
60.84	0
60.86	0
60.88	0
60.9	1
60.92	0
60.94	0
60.96	0
60.98	0
61	0
61.02	0
61.04	0
61.06	0
61.08	0
61.1	0
61.12	0
61.14	0
61.16	0
61.18	0
61.2	0
61.22	0
61.24	0
61.26	0
61.28	0
61.3	1
61.32	0
61.34	0
61.36	0
61.38	0
61.4	0
61.42	1
61.44	1
61.46	0
61.48	0
61.5	0
61.52	0
61.54	0
61.56	0
61.58	0
61.6	1
61.62	0
61.64	0
61.66	0
61.68	0
61.7	0
61.72	0
61.74	0
61.76	0
61.78	0
61.8	0
61.82	1
61.84	0
61.86	0
61.88	0
61.9	0
61.92	0
61.94	0
61.96	0
61.98	0
62	0
62.02	0
62.04	1
62.06	0
62.08	1
62.1	0
62.12	0
62.14	0
62.16	0
62.18	0
62.2	0
62.22	0
62.24	1
62.26	0
62.28	0
62.3	0
62.32	0
62.34	0
62.36	0
62.38	0
62.4	1
62.42	0
62.44	0
62.46	0
62.48	0
62.5	0
62.52	0
62.54	0
62.56	0
62.58	0
62.6	0
62.62	0
62.64	0
62.66	0
62.68	0
62.7	0
62.72	1
62.74	0
62.76	0
62.78	0
62.8	1
62.82	0
62.84	0
62.86	0
62.88	0
62.9	0
62.92	0
62.94	0
62.96	0
62.98	0
63	0
63.02	0
63.04	0
63.06	0
63.08	0
63.1	0
63.12	0
63.14	0
63.16	0
63.18	0
63.2	0
63.22	0
63.24	0
63.26	0
63.28	0
63.3	1
63.32	1
63.34	0
63.36	0
63.38	0
63.4	0
63.42	0
63.44	0
63.46	0
63.48	0
63.5	0
63.52	0
63.54	0
63.56	0
63.58	0
63.6	0
63.62	0
63.64	0
63.66	0
63.68	0
63.7	0
63.72	0
63.74	0
63.76	0
63.78	0
63.8	0
63.82	0
63.84	1
63.86	0
63.88	0
63.9	0
63.92	0
63.94	0
63.96	0
63.98	0
64	0
64.02	0
64.04	0
64.06	0
64.08	0
64.1	0
64.12	0
64.14	0
64.16	0
64.18	0
64.2	0
64.22	0
64.24	0
64.26	0
64.28	0
64.3	0
64.32	0
64.34	0
64.36	0
64.38	0
64.4	0
64.42	0
64.44	1
64.46	0
64.48	0
64.5	0
64.52	0
64.54	0
64.56	0
64.58	1
64.6	0
64.62	0
64.64	0
64.66	0
64.68	0
64.7	0
64.72	0
64.74	0
64.76	0
64.78	0
64.8	0
64.82	0
64.84	0
64.86	0
64.88	0
64.9	0
64.92	0
64.94	0
64.96	0
64.98	0
65	0
65.02	0
65.04	0
65.06	0
65.08	1
65.1	0
65.12	0
65.14	0
65.16	0
